-1, 0
18, 0
39, 1
60, 1
81, 3
102, 4
123, 6
144, 7
164, 9
185, 9
206, 10

7, 0
27, 0
48, 1
68, 2
89, 3
110, 5
131, 7
152, 9
173, 12
194, 14
215, 16
236, 17
257, 19
278, 19
298, 20

4, 0
25, 0
46, 1
67, 2
88, 3
109, 5
129, 7
149, 9
170, 12
191, 14
212, 18
233, 20
254, 23
275, 25
296, 27
317, 28
338, 29
359, 30

5, 0
26, 0
47, 1
68, 2
88, 3
109, 5
130, 7
150, 9
171, 11
191, 14
212, 17
233, 21
254, 25
275, 28
296, 30
317, 33
338, 35
359, 37
380, 38
401, 39
422, 40

8, 0
28, 0
49, 1
70, 2
90, 3
111, 5
132, 7
152, 9
173, 12
194, 15
214, 18
236, 22
256, 26
278, 30
299, 33
320, 37
340, 40
362, 42
383, 44
403, 46
425, 48
446, 49
467, 50

15, 0
36, 1
57, 2
78, 3
99, 4
120, 6
141, 7
162, 11
183, 13
204, 16
225, 20
246, 24
267, 28
287, 32
308, 37
329, 40
350, 44
371, 47
392, 50
413, 53
434, 55
455, 56
476, 58
497, 59
518, 60

7, 0
28, 0
49, 1
69, 2
90, 4
110, 5
131, 7
152, 10
173, 12
193, 15
214, 18
235, 22
256, 26
277, 30
298, 34
319, 40
340, 44
360, 49
381, 52
402, 56
423, 59
444, 61
465, 64
486, 66
507, 67
528, 68
549, 69
570, 70

0, 0
20, 0
40, 1
61, 2
82, 3
102, 4
123, 6
144, 7
165, 10
186, 13
207, 17
228, 20
249, 24
270, 28
291, 32
312, 38
333, 42
354, 48
375, 52
395, 57
416, 60
437, 64
458, 67
479, 70
500, 72
521, 75
542, 76
563, 78
584, 79
605, 80
626, 80

14, 0
34, 0
55, 1
75, 2
95, 4
117, 6
138, 8
159, 10
180, 13
201, 16
222, 19
242, 23
263, 26
284, 30
305, 36
326, 40
347, 46
368, 52
389, 56
410, 62
431, 66
452, 70
473, 74
494, 77
515, 80
536, 82
557, 85
578, 86
599, 88
620, 89
641, 90

13, 0
34, 0
54, 1
75, 2
96, 4
117, 6
138, 7
159, 10
180, 13
201, 16
222, 19
243, 23
264, 26
285, 32
306, 36
327, 42
348, 46
369, 54
390, 58
411, 64
432, 68
453, 72
474, 78
495, 81
516, 85
537, 88
558, 91
580, 93
600, 95
621, 97
642, 98
663, 99
684, 100

15, 0
36, 0
56, 1
77, 3
98, 4
118, 6
139, 7
160, 10
181, 13
201, 16
222, 19
243, 23
264, 26
285, 32
306, 36
327, 42
348, 46
369, 52
390, 60
411, 66
432, 72
453, 80
474, 88
495, 96
517, 105
537, 113
558, 119
578, 127
599, 135
621, 141
641, 147
662, 153
683, 159
704, 163
726, 169
746, 173
767, 178
788, 182
809, 185
830, 188
851, 191
872, 193
893, 195
914, 197
935, 198
957, 199
977, 200

11, 0
31, 0
52, 1
73, 2
94, 4
115, 5
135, 7
156, 9
177, 12
198, 15
219, 18
240, 22
261, 26
282, 30
303, 34
324, 40
345, 46
366, 52
387, 56
408, 64
429, 70
450, 78
471, 86
492, 94
513, 100
533, 109
554, 118
575, 127
596, 133
617, 142
638, 151
659, 160
680, 169
701, 178
722, 184
743, 193
764, 202
785, 210
806, 218
827, 226
848, 234
869, 240
890, 246
911, 252
932, 258
953, 262
974, 268
995, 272
1016, 277
1037, 281
1058, 284
1079, 287
1099, 290
1120, 293
1141, 295
1162, 296
1183, 298
1204, 299
1225, 300

5, 0
26, 0
46, 1
67, 2
88, 3
109, 5
130, 7
150, 9
171, 11
191, 14
212, 17
233, 21
254, 25
275, 30
296, 34
317, 38
338, 44
358, 48
379, 56
400, 62
421, 68
441, 76
462, 82
483, 90
503, 98
524, 106
544, 115
565, 124
586, 130
607, 139
627, 148
648, 157
669, 163
690, 172
711, 181
732, 190
753, 199
774, 205
795, 214
816, 223
837, 232
858, 241
878, 247
899, 256
920, 265
941, 274
962, 280
983, 289
1003, 298
1024, 307
1045, 315
1066, 321
1086, 329
1107, 335
1127, 343
1148, 349
1169, 355
1190, 359
1211, 365
1232, 369
1253, 375
1274, 379
1295, 382
1316, 386
1337, 389
1358, 391
1378, 394
1398, 395
1419, 397
1440, 398
1461, 399
1482, 400

10, 0
31, 1
52, 1
73, 2
94, 4
115, 6
136, 7
157, 10
177, 13
198, 16
219, 19
240, 23
261, 26
282, 32
303, 36
324, 42
345, 46
365, 52
386, 58
406, 64
427, 72
447, 78
468, 86
489, 94
509, 103
530, 112
551, 118
572, 127
593, 136
613, 142
634, 151
655, 160
676, 169
697, 178
718, 184
739, 193
760, 202
781, 211
802, 220
823, 226
844, 235
865, 244
886, 253
907, 262
928, 271
949, 277
970, 286
991, 295
1012, 304
1033, 313
1054, 319
1075, 328
1096, 337
1117, 346
1138, 352
1158, 361
1179, 370
1200, 379
1221, 388
1242, 394
1263, 403
1284, 411
1305, 419
1326, 427
1347, 433
1368, 441
1389, 447
1410, 453
1431, 459
1452, 463
1473, 469
1494, 473
1515, 478
1536, 482
1557, 485
1578, 488
1599, 491
1620, 493
1641, 495
1662, 497
1683, 498
1704, 499
1725, 500

15, 0
35, 0
57, 1
77, 2
98, 4
118, 6
139, 8
160, 10
181, 13
202, 16
223, 19
244, 23
265, 28
286, 32
306, 36
327, 42
348, 46
368, 54
390, 60
411, 66
432, 72
453, 80
474, 88
495, 96
516, 103
537, 112
558, 121
579, 130
600, 136
621, 145
642, 154
663, 163
684, 172
705, 178
726, 187
747, 196
767, 205
788, 214
809, 220
830, 229
851, 238
872, 247
893, 253
913, 265
934, 271
955, 280
976, 289
997, 295
1018, 304
1039, 313
1060, 322
1081, 331
1102, 337
1123, 346
1144, 355
1165, 364
1186, 373
1207, 379
1227, 388
1248, 397
1269, 406
1290, 412
1311, 421
1332, 430
1353, 439
1374, 448
1395, 454
1416, 463
1437, 472
1458, 481
1479, 490
1500, 496
1521, 505
1542, 514
1563, 523
1584, 532
1605, 538
1626, 547
1646, 556
1667, 565
1688, 574
1709, 580
1730, 589
1751, 598
1772, 607
1793, 616
1814, 622
1835, 631
1856, 640
1877, 649
1897, 655
1918, 664
1938, 673
1959, 682
1980, 688
2001, 697
2022, 706
2043, 715
2064, 724
2085, 730
2106, 739
2127, 748
2148, 757
2169, 766
2190, 772
2211, 781
2232, 790
2253, 799
2274, 808
2295, 814
2316, 823
2337, 832
2358, 841
2379, 850
2400, 859
2421, 865
2442, 874
2463, 883
2483, 892
2504, 898
2525, 907
2546, 915
2567, 923
2588, 931
2609, 937
2630, 943
2651, 949
2671, 955
2692, 961
2713, 967
2734, 971
2755, 975
2776, 979
2797, 983
2818, 986
2839, 989
2860, 992
2881, 994
2902, 996
2923, 997
2944, 999
2965, 1000

