-2, 0
18, 0
39, 0
60, 1
80, 2
101, 4
123, 6
144, 7
165, 8
186, 9
206, 10

7, 0
28, 0
49, 1
70, 2
91, 4
113, 5
133, 7
154, 9
174, 12
195, 14
216, 16
236, 17
257, 19
277, 19
298, 20

2, 0
23, 0
44, 1
65, 2
86, 3
107, 5
128, 7
149, 9
169, 12
190, 15
211, 18
231, 20
253, 23
273, 25
294, 27
314, 28
335, 29
357, 30

2, 0
23, 0
44, 1
65, 2
85, 3
106, 5
127, 7
148, 9
168, 11
189, 14
210, 17
231, 21
252, 25
273, 28
294, 31
315, 33
336, 35
357, 37
378, 38
399, 39
420, 40

6, 0
27, 0
47, 1
68, 2
89, 3
110, 5
131, 7
151, 9
172, 12
193, 15
214, 18
235, 22
256, 26
277, 30
298, 34
319, 37
340, 40
361, 42
382, 44
403, 46
424, 48
445, 49
465, 50

13, 0
34, 1
55, 1
76, 3
96, 4
117, 6
139, 7
159, 10
180, 13
201, 16
222, 19
243, 23
264, 27
286, 31
306, 36
327, 40
348, 43
369, 46
390, 49
411, 52
432, 54
453, 56
474, 57
494, 59
515, 59
536, 60

0, 0
21, 0
42, 1
63, 2
84, 3
105, 5
126, 7
147, 9
168, 11
189, 14
210, 18
231, 21
252, 26
273, 29
294, 34
315, 38
336, 42
357, 46
378, 50
398, 54
419, 57
440, 60
461, 62
481, 64
502, 66
523, 68
544, 69
565, 70

3, 0
24, 0
45, 1
66, 2
87, 3
108, 5
129, 7
150, 9
170, 12
191, 15
212, 18
233, 21
254, 25
275, 30
296, 34
317, 38
338, 42
359, 47
379, 51
400, 55
421, 59
442, 62
463, 66
484, 69
505, 71
526, 74
547, 76
568, 77
589, 78
610, 79
631, 80

13, 0
34, 1
55, 1
76, 3
97, 4
118, 6
139, 7
160, 10
181, 13
202, 16
223, 20
244, 24
265, 28
286, 32
307, 36
327, 40
348, 44
369, 49
390, 53
411, 57
432, 61
453, 65
474, 70
495, 73
516, 76
537, 79
558, 82
579, 84
600, 86
621, 87
642, 89
663, 89
684, 90

5, 0
26, 0
47, 1
67, 2
88, 3
109, 5
130, 7
150, 9
171, 12
191, 15
212, 18
233, 22
254, 25
275, 30
296, 34
316, 38
337, 42
358, 46
379, 50
400, 55
421, 59
442, 63
463, 67
484, 72
505, 76
526, 80
547, 83
568, 86
589, 89
610, 92
631, 94
652, 96
673, 98
694, 99
715, 99
736, 100

8, 0
29, 0
49, 1
70, 2
91, 4
112, 5
133, 7
153, 9
174, 12
195, 15
215, 18
236, 22
257, 26
278, 30
299, 35
320, 39
341, 43
362, 47
383, 51
404, 56
424, 59
445, 64
465, 68
486, 72
506, 76
527, 80
548, 84
569, 89
589, 92
610, 97
631, 101
652, 105
673, 109
694, 113
715, 118
736, 122
756, 126
777, 130
797, 134
818, 138
839, 143
860, 147
881, 151
902, 155
923, 159
944, 164
965, 168
986, 172
1007, 176
1028, 180
1049, 184
1070, 187
1090, 190
1111, 192
1132, 194
1153, 196
1174, 198
1195, 199
1216, 200

6, 0
27, 0
48, 1
69, 2
89, 3
111, 5
131, 7
153, 9
173, 12
195, 15
215, 18
236, 22
256, 26
277, 30
298, 34
318, 39
339, 42
361, 47
381, 51
402, 55
423, 59
443, 63
465, 68
486, 72
507, 76
528, 80
549, 84
570, 89
591, 93
612, 97
632, 101
653, 105
673, 109
694, 114
715, 118
736, 122
757, 126
778, 130
799, 134
819, 139
841, 143
862, 147
882, 151
903, 155
924, 160
945, 164
966, 168
986, 172
1006, 176
1027, 180
1048, 184
1068, 189
1090, 192
1110, 197
1131, 201
1152, 205
1173, 209
1194, 213
1215, 218
1235, 222
1256, 226
1277, 230
1298, 234
1318, 239
1339, 243
1360, 247
1381, 251
1402, 255
1423, 259
1444, 263
1465, 268
1486, 272
1507, 276
1528, 280
1549, 284
1570, 287
1591, 290
1611, 292
1632, 294
1653, 296
1674, 298
1695, 299
1716, 300

7, 0
28, 0
48, 1
69, 2
89, 3
109, 5
130, 7
151, 9
172, 12
193, 15
214, 18
235, 22
256, 26
277, 30
298, 34
319, 38
340, 42
361, 47
382, 51
402, 55
423, 59
444, 63
465, 67
486, 72
507, 76
528, 80
549, 84
570, 89
591, 93
612, 97
633, 101
654, 105
675, 110
696, 114
717, 118
738, 122
759, 126
779, 130
800, 134
821, 139
842, 143
863, 147
884, 152
905, 156
926, 160
947, 164
968, 168
989, 172
1010, 176
1031, 181
1052, 185
